factor,mean_abs_error_m,p95_abs_error_m,valid_measurements,failed_mics
0.15000,0.56364678,1.48409467,7988,12
0.16000,0.46140601,1.24695282,7990,10
0.17000,0.39567293,1.08581197,7993,7
0.18000,0.35076434,0.95696796,7997,3
0.19000,0.31433158,0.81277579,7994,6
0.20000,0.29140194,0.71209608,7994,6
0.21000,0.28166931,0.66688754,7997,3
0.22000,0.27621016,0.62083279,7998,2
0.23000,0.27915502,0.60790322,7997,3
0.24000,0.28427270,0.60636811,7998,2
0.25000,0.29310154,0.61092169,7999,1
0.26000,0.30486678,0.63176860,7999,1
0.27000,0.31528077,0.65368122,7998,2
0.28000,0.32510065,0.68005086,7998,2
0.29000,0.33587644,0.70272650,7999,1
0.30000,0.34795266,0.72408405,7999,1
0.31000,0.36012975,0.74614168,7999,1
0.32000,0.37318313,0.76496027,7999,1
0.33000,0.38613261,0.79094968,7999,1
0.34000,0.40059473,0.81987216,7998,2
0.35000,0.41382679,0.84238206,7998,2
0.36000,0.42713984,0.87554572,7998,2
0.37000,0.44012379,0.90298895,8000,0
0.38000,0.45452647,0.93281043,8000,0
0.39000,0.46564177,0.95152727,8000,0
0.40000,0.47787461,0.96518973,8000,0
